Species,Reserva El Copal (Tausito),PN Tapanti--Sector Tapanti,Hotel Quelitales,Hotel Bougainvillea,HOTEL GEMA DEL BOSQUE,"PN Los Quetzales--KM 76, Providencia road",San Gerardo de Dota,Max Freq,Tax Sort
Buffy Tuftedcheek,0.0,2.56,0.0,0.0,0.0,17.19,2.78,17.19,14858.0
Scaly-throated Foliage-gleaner,0.7812,5.61,0.8625,0.0,0.0,1.01,0.0,5.61,14992.0
Lineated Foliage-gleaner,0.0,17.87,1.43,0.0,0.0,1.01,1.39,17.87,15011.0
Buff-fronted Foliage-gleaner,0.7812,3.59,0.2865,0.0,0.0,0.0,0.0,3.59,15042.0
Streak-breasted Treehunter,0.0,9.19,0.5731,0.0,0.0,3.04,3.71,9.19,15094.0
Fawn-throated Foliage-gleaner,12.51,3.07,0.2865,0.0,0.0,0.0,0.0,12.51,15102.0
Spotted Barbtail,8.6,42.39,9.74,0.0,0.0,0.0,2.78,42.39,15134.0
Ruddy Treerunner,0.0,11.74,0.0,0.0,18.52,45.54,34.79,45.54,15147.0
Red-faced Spinetail,2.34,56.15,12.89,0.0,0.0,2.02,1.39,56.15,15355.0
Slaty Spinetail,2.36,2.04,0.2865,0.0,0.0,0.0,0.0,2.36,15427.0
White-ruffed Manakin,68.02,4.08,8.6,0.0,0.0,0.0,0.0,68.02,15554.0
White-collared Manakin,56.29,1.02,2.29,0.0,0.0,0.0,0.0,56.29,15600.0
White-crowned Manakin,24.23,0.5102,0.0,0.0,0.0,0.0,0.0,24.23,15654.0
Rufous Piha,0.7812,2.04,0.5731,0.0,0.0,0.0,0.0,2.04,15766.0
Masked Tityra,10.17,2.55,2.87,4.03,0.0,0.0,0.0,10.17,15806.0
Northern Schiffornis,26.58,0.5102,0.2865,0.0,0.0,0.0,0.0,26.58,15821.0
Barred Becard,0.0,12.26,0.5731,0.0,0.0,23.24,12.99,23.24,15866.0
Cinnamon Becard,18.76,1.53,3.15,0.0,0.0,0.0,0.0,18.76,15874.0
Black-and-white Becard,0.7812,5.62,2.3,0.0,0.0,0.0,0.0,5.62,15894.0
Sharpbill,1.56,3.57,0.2865,0.0,0.0,0.0,0.0,3.57,15929.0
Ruddy-tailed Flycatcher,13.29,1.02,0.0,0.0,0.0,0.0,0.0,13.29,15947.0
Sulphur-rumped Flycatcher,14.84,0.5102,0.0,0.0,0.0,0.0,0.0,14.84,15961.0
White-throated Spadebill,13.29,6.13,2.29,0.0,0.0,0.0,0.0,13.29,16002.0
Olive-streaked Flycatcher,14.84,14.3,6.88,0.0,0.0,2.02,5.56,14.84,16043.0
Ochre-bellied Flycatcher,7.03,1.02,0.2865,0.0959,0.0,0.0,0.0,7.03,16051.0
Slaty-capped Flycatcher,24.24,18.38,7.45,0.0,0.0,0.0,0.0,24.24,16077.0
Rufous-browed Tyrannulet,38.3,0.5102,0.5731,0.0,0.0,0.0,0.0,38.3,16109.0
Scale-crested Pygmy-Tyrant,62.54,57.18,11.17,0.0,0.0,0.0,0.0,62.54,16142.0
Northern Bentbill,3.91,0.5102,0.0,0.0,0.0,0.0,0.0,3.91,16161.0
Common Tody-Flycatcher,12.5,10.2,18.35,0.5753,0.0,0.0,0.0,18.35,16266.0
Black-headed Tody-Flycatcher,14.84,1.02,5.73,0.0,0.0,0.0,0.0,14.84,16277.0
Eye-ringed Flatbill,3.91,13.78,2.58,0.0,0.0,0.0,0.0,13.78,16290.0
Yellow-olive Flatbill,15.63,10.21,7.45,0.0959,0.0,0.0,0.0,15.63,16312.0
Yellow-bellied Elaenia,10.16,5.62,15.76,1.15,0.0,0.0,3.71,15.76,16530.0
Mountain Elaenia,2.34,2.55,5.16,0.5753,59.3,35.4,55.18,59.3,16557.0
Torrent Tyrannulet,0.0078,17.87,0.2865,0.0,3.7,4.04,27.87,27.87,16579.0
White-fronted Tyrannulet,0.0,3.57,4.3,0.0,3.7,6.06,0.463,6.06,16614.0
Mistletoe Tyrannulet,62.55,40.84,16.91,0.2876,33.33,41.44,19.92,62.55,16633.0
Tawny-chested Flycatcher,22.66,0.5102,0.0,0.0,0.0,0.0,0.0,22.66,16712.0
Tufted Flycatcher,0.7812,48.53,8.02,0.0,0.0,12.14,41.28,48.53,16716.0
Ochraceous Pewee,0.0,0.0,0.0,0.0,0.0,7.09,5.58,7.09,16724.0
Dark Pewee,0.0,25.01,1.43,0.0,0.0,4.05,23.68,25.01,16728.0
Northern Tropical Pewee,10.17,5.62,6.6,0.1918,0.0,0.0,0.0,10.17,16750.0
Yellowish Flycatcher,1.56,18.38,3.44,0.0,0.0,8.1,36.65,36.65,16817.0
Black-capped Flycatcher,0.0,0.0,0.0,0.0,33.33,57.64,27.84,57.64,16829.0
Bright-rumped Attila,18.75,3.06,2.3,0.0959,0.0,0.0,0.0,18.75,17079.0
Rufous Mourner,5.47,9.72,5.16,0.0,0.0,0.0,0.0,9.72,17104.0
Boat-billed Flycatcher,34.4,8.17,15.19,17.46,0.0,0.0,10.21,34.4,17210.0
Social Flycatcher,28.92,16.85,30.68,52.85,0.0,1.01,1.85,52.85,17223.0
Gray-capped Flycatcher,18.77,4.08,11.76,0.4794,0.0,0.0,0.0,18.77,17234.0
Golden-bellied Flycatcher,3.91,31.67,6.3,0.1927,3.7,1.01,7.88,31.67,17254.0
Rufous-browed Peppershrike,2.34,5.11,3.15,3.74,7.41,7.08,16.22,16.22,18853.0
Tawny-crowned Greenlet,12.52,0.5102,0.8596,0.0,0.0,0.0,0.0,12.52,18924.0
Lesser Greenlet,44.55,16.84,5.74,0.2876,0.0,0.0,0.0,44.55,18937.0
Yellow-winged Vireo,0.0,2.05,0.0,0.0959,33.33,46.53,42.66,46.53,19022.0
Brown-capped Vireo,0.0,18.39,3.44,0.0,0.0,4.05,25.97,25.97,19053.0
Silvery-throated Jay,0.0,0.0,0.0,0.0,0.0,2.04,1.39,2.04,20968.0
Azure-hooded Jay,0.0,8.17,0.8596,0.0,0.0,0.0,0.0,8.17,20971.0
Gray-breasted Martin,1.56,1.02,0.0,0.0959,0.0,0.0,0.0,1.56,23863.0
Southern Rough-winged Swallow,3.13,6.12,1.15,0.2876,0.0,0.0,0.0,6.12,23886.0
Blue-and-white Swallow,17.97,31.66,29.24,30.79,18.56,11.13,55.17,55.17,23898.0
Tawny-faced Gnatwren,2.35,0.0,0.0,0.0,0.0,0.0,0.0,2.35,26820.0
Long-billed Gnatwren,6.25,0.5102,0.0,0.0959,0.0,0.0,0.0,6.25,26825.0
White-browed Gnatcatcher,14.07,2.55,0.8596,0.0,0.0,0.0,0.0,14.07,26868.0
Scaly-breasted Wren,7.81,0.5102,0.0,0.0,0.0,0.0,0.0,7.81,26913.0
Southern House Wren,20.32,17.89,22.08,26.67,0.0,1.01,0.4676,26.67,26960.0
Ochraceous Wren,0.0,48.51,3.15,0.2876,11.11,21.24,25.96,48.51,26991.0
Timberline Wren,0.0,0.0,0.0,0.0,0.0,34.4,0.0,34.4,27058.0
Band-backed Wren,8.62,4.08,1.43,0.0,0.0,0.0,0.0,8.62,27142.0
Rufous-backed Wren,0.0,0.0,0.0,53.62,0.0,0.0,0.0,53.62,27160.0
Black-throated Wren,10.16,0.0,0.0,0.0,0.0,0.0,0.0,10.16,27268.0
Stripe-breasted Wren,48.45,0.5102,1.15,0.0,0.0,0.0,0.0,48.45,27290.0
Cabanis's Wren,2.34,5.62,8.6,30.12,0.0,0.0,0.0,30.12,27294.0
Bay Wren,5.48,1.53,0.2865,0.0,0.0,0.0,0.0,5.48,27300.0
White-breasted Wood-Wren,43.77,6.63,17.77,0.0,0.0,0.0,0.0,43.77,27353.0
Gray-breasted Wood-Wren,7.03,59.22,10.32,0.0,14.81,36.4,49.58,59.22,27371.0
Song Wren,7.03,0.0,0.0,0.0,0.0,0.0,0.0,7.03,27392.0
Tropical Mockingbird,0.7812,0.5153,0.8596,2.97,0.0,0.0,6.97,6.97,27857.0
Black-faced Solitaire,24.23,57.69,24.36,0.0,3.7,10.11,43.11,57.69,27936.0
Black-billed Nightingale-Thrush,0.0,0.0,0.0,0.0,44.44,51.57,33.86,51.57,28007.0
Orange-billed Nightingale-Thrush,3.12,3.07,5.73,0.3835,0.0,0.0,0.0,5.73,28010.0
Slaty-backed Nightingale-Thrush,14.85,46.96,17.77,0.0,0.0,0.0,0.0,46.96,28028.0
Ruddy-capped Nightingale-Thrush,1.56,5.61,0.2865,0.0,0.0,11.14,35.7,35.7,28042.0
Black-headed Nightingale-Thrush,29.69,1.53,0.5759,0.0,0.0,0.0,0.0,29.69,28051.0
Mountain Thrush,1.56,18.39,3.73,0.1918,37.04,36.42,59.84,59.84,28214.0
White-throated Thrush,3.12,9.7,0.8596,0.0,0.0,0.0,0.0,9.7,28258.0
Pale-vented Thrush,7.81,4.09,0.2865,0.0,0.0,0.0,0.0,7.81,28281.0
Sooty Thrush,0.0,0.0,0.0,0.0,51.89,24.25,38.02,51.89,28312.0
Black-and-yellow Silky-flycatcher,1.56,21.97,0.8596,0.0,3.7,34.39,2.78,34.39,29629.0
Long-tailed Silky-flycatcher,0.7812,3.07,0.0,0.0,55.59,35.43,54.27,55.59,29637.0
Elegant Euphonia,7.04,9.2,10.32,0.0,0.0,2.02,6.96,10.32,31699.0
Golden-browed Chlorophonia,18.77,18.88,11.46,0.2876,7.41,12.15,19.94,19.94,31721.0
Yellow-crowned Euphonia,10.94,0.0,0.8596,0.2876,0.0,0.0,0.0,10.94,31739.0
White-vented Euphonia,35.97,1.02,2.58,0.0,0.0,0.0,0.0,35.97,31743.0
Yellow-throated Euphonia,21.1,2.56,28.95,2.11,0.0,0.0,0.0,28.95,31751.0
Olive-backed Euphonia,12.51,0.5102,1.15,0.0,0.0,0.0,0.0,12.51,31763.0
Tawny-capped Euphonia,73.49,57.17,27.79,0.0959,0.0,0.0,0.0,73.49,31770.0
Yellow-bellied Siskin,0.7812,0.5153,0.0,0.0,22.22,12.13,21.35,22.22,32351.0
Ashy-throated Chlorospingus,43.78,1.02,0.5731,0.0,0.0,0.0,0.0,43.78,32575.0
Sooty-capped Chlorospingus,0.7812,4.6,0.5731,0.0,59.3,65.75,55.19,65.75,32582.0
Common Chlorospingus,13.3,82.72,32.97,0.1918,0.0,3.04,29.21,82.72,32585.0
Black-striped Sparrow,5.47,1.02,0.0,0.0959,0.0,0.0,0.0,5.47,32700.0
Orange-billed Sparrow,21.1,1.03,1.15,0.0959,0.0,0.0,0.0,21.1,32769.0
Chestnut-capped Brushfinch,7.82,12.76,17.2,0.0,0.0,2.02,15.3,17.2,32799.0
Sooty-faced Finch,3.92,17.87,40.99,0.0,0.0,0.0,0.0,40.99,32811.0
Rufous-collared Sparrow,3.91,27.07,36.7,49.41,81.52,30.33,77.42,81.52,32876.0
Large-footed Finch,0.0,0.0,0.0,0.0,66.74,27.33,27.38,66.74,33039.0
White-eared Ground-Sparrow,0.0,3.57,37.85,13.73,0.0,0.0,0.0,37.85,33078.0
Cabanis's Ground-Sparrow,0.0,1.02,1.15,5.28,0.0,0.0,0.0,5.28,33084.0
White-naped Brushfinch,1.56,14.81,16.92,0.2886,0.0,1.01,2.31,16.92,33157.0
Yellow-thighed Brushfinch,0.0,3.06,0.5759,0.0,37.07,31.34,48.69,48.69,33167.0
Wrenthrush,0.0,3.07,0.0,0.0,3.7,24.27,8.81,24.27,33271.0
Yellow-billed Cacique,0.7812,0.0,0.5731,0.0968,0.0,7.08,0.9306,7.08,33329.0
Chestnut-headed Oropendola,60.2,4.08,20.93,0.0959,0.0,0.0,0.0,60.2,33351.0
Montezuma Oropendola,35.95,24.51,66.25,20.24,0.0,0.0,0.0,66.25,33354.0
Scarlet-rumped Cacique,46.9,0.0,0.5731,0.0,0.0,0.0,0.0,46.9,33367.0
Black-cowled Oriole,3.12,0.0051,1.43,0.001,0.0,0.0,0.0,3.12,33398.0
Giant Cowbird,1.56,1.54,0.5731,0.1918,0.0,0.0,0.0,1.56,33563.0
Melodious Blackbird,5.47,11.24,20.07,34.53,0.0,0.0,8.34,34.53,33566.0
Golden-winged Warbler,39.08,32.18,20.07,0.0959,0.0,1.01,10.67,39.08,33679.0
Flame-throated Warbler,0.0,1.02,0.0,0.0,22.22,52.63,41.75,52.63,33694.0
Gray-crowned Yellowthroat,0.0,2.55,0.2865,0.0959,0.0,0.0,0.0,2.55,33715.0
Olive-crowned Yellowthroat,3.13,3.06,0.0,0.0,0.0,0.0,0.0,3.13,33736.0
Tropical Parula,60.19,34.21,26.95,0.6721,0.0,0.0,1.39,60.19,33787.0
Chestnut-capped Warbler,16.41,5.11,3.15,23.69,0.0,0.0,0.0,23.69,33943.0
Black-cheeked Warbler,0.0,1.02,0.0,0.0,14.81,30.37,23.69,30.37,33948.0
